city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Copenhagen,55.6761,12.5689,Denmark,DK,Hovedstaden,primary,1396508,667099
Aarhus,56.1564,10.2097,Denmark,DK,Midtjylland,minor,301049,290598
Odense,55.4000,10.3833,Denmark,DK,Syddanmark,minor,185480,185480
Aalborg,57.0500,9.9167,Denmark,DK,Nordjylland,admin,143598,121878
Esbjerg,55.4708,8.4514,Denmark,DK,Syddanmark,minor,71554,71554
Randers,56.4569,10.0392,Denmark,DK,Midtjylland,minor,64511,64674
Horsens,55.8619,9.8519,Denmark,DK,Midtjylland,minor,64418,64418
Kolding,55.4908,9.4722,Denmark,DK,Syddanmark,minor,63645,63645
Vejle,55.7083,9.5333,Denmark,DK,Syddanmark,admin,62011,62011
Roskilde,55.6417,12.0808,Denmark,DK,Sjælland,minor,53354,53354
Silkeborg,56.1667,9.5500,Denmark,DK,Midtjylland,minor,52571,50866
Herning,56.1361,8.9767,Denmark,DK,Midtjylland,minor,51782,51312
Hørsholm,55.8786,12.4992,Denmark,DK,Hovedstaden,minor,48349,47489
Helsingør,56.0360,12.6106,Denmark,DK,Hovedstaden,minor,48134,47364
Næstved,55.2333,11.7667,Denmark,DK,Sjælland,minor,45199,44996
Viborg,56.4500,9.4000,Denmark,DK,Midtjylland,admin,43645,41079
Fredericia,55.5644,9.7597,Denmark,DK,Syddanmark,minor,41543,41243
Køge,55.4500,12.1833,Denmark,DK,Sjælland,minor,38506,38588
Taastrup,55.6500,12.3000,Denmark,DK,Hovedstaden,minor,38178,37231
